Threads,MatrixSize,MinValue,MaxValue,Time(ms)
2,500,0,100,88
2,500,0,100,88
2,500,0,100,88
2,500,0,100,88
2,500,0,100,88
2,500,0,100,88
2,600,0,100,198
2,600,0,100,198
2,600,0,100,198
2,600,0,100,198
2,600,0,100,198
2,600,0,100,198
2,700,0,100,323
2,700,0,100,323
2,700,0,100,323
2,700,0,100,323
2,700,0,100,323
2,700,0,100,323
2,800,0,100,1521
2,800,0,100,1516
2,800,0,100,1516
2,800,0,100,1518
2,800,0,100,432
2,800,0,100,1514
2,900,0,100,642
2,900,0,100,642
2,900,0,100,643
2,900,0,100,2648
2,900,0,100,2648
2,900,0,100,642
2,1000,0,100,905
2,1000,0,100,903
2,1000,0,100,904
2,1000,0,100,905
2,1000,0,100,905
2,1000,0,100,905
1,100,0,100,0
1,100,0,100,0
1,100,0,100,1
1,100,0,100,1
1,100,0,100,1
1,100,0,100,0
1,200,0,100,7
1,200,0,100,7
1,200,0,100,7
1,200,0,100,6
1,200,0,100,7
1,200,0,100,7
1,300,0,100,30
1,300,0,100,29
1,300,0,100,29
1,300,0,100,29
1,300,0,100,29
1,300,0,100,30
1,400,0,100,70
1,400,0,100,70
1,400,0,100,70
1,400,0,100,70
1,400,0,100,70
1,400,0,100,70
1,500,0,100,176
1,500,0,100,176
1,500,0,100,176
1,500,0,100,176
1,500,0,100,176
1,500,0,100,177
1,600,0,100,396
1,600,0,100,396
1,600,0,100,396
1,600,0,100,396
1,600,0,100,395
1,600,0,100,395
1,700,0,100,647
1,700,0,100,647
1,700,0,100,647
1,700,0,100,647
1,700,0,100,647
1,700,0,100,646
1,800,0,100,2898
1,800,0,100,2896
1,800,0,100,2902
1,800,0,100,2901
1,800,0,100,2908
1,800,0,100,863
1,900,0,100,1262
1,900,0,100,5058
1,900,0,100,1285
1,900,0,100,1284
1,900,0,100,1240
1,900,0,100,1284
1,1000,0,100,1803
1,1000,0,100,1803
1,1000,0,100,1802
1,1000,0,100,1803
1,1000,0,100,1803
1,1000,0,100,1800
