Threads,MatrixSize,MinValue,MaxValue,Time(ms)
2,700,0,100,677
2,800,0,100,1035
2,800,0,100,1053
2,800,0,100,1070
2,800,0,100,1061
2,800,0,100,1033
2,800,0,100,1012
2,900,0,100,1572
2,900,0,100,1504
2,900,0,100,1503
2,900,0,100,1502
2,900,0,100,1701
2,900,0,100,1544
2,1000,0,100,2071
2,1000,0,100,2108
2,1000,0,100,2101
2,1000,0,100,2065
2,1000,0,100,2138
2,1000,0,100,2168
4,100,0,100,2
4,100,0,100,1
4,100,0,100,1
4,100,0,100,1
4,100,0,100,1
4,100,0,100,1
4,200,0,100,9
4,200,0,100,9
4,200,0,100,8
4,200,0,100,8
4,200,0,100,8
4,200,0,100,9
4,300,0,100,35
4,300,0,100,34
4,300,0,100,37
4,300,0,100,30
4,300,0,100,36
4,300,0,100,33
4,400,0,100,77
4,400,0,100,73
4,400,0,100,87
4,400,0,100,75
4,400,0,100,77
4,400,0,100,79
4,500,0,100,153
4,500,0,100,153
4,500,0,100,145
4,500,0,100,133
4,500,0,100,163
4,500,0,100,152
4,600,0,100,243
4,600,0,100,255
4,600,0,100,271
4,600,0,100,237
4,600,0,100,235
4,600,0,100,270
4,700,0,100,389
4,700,0,100,409
4,700,0,100,384
4,700,0,100,394
4,700,0,100,376
4,700,0,100,395
4,800,0,100,570
4,800,0,100,564
4,800,0,100,598
4,800,0,100,598
4,800,0,100,556
4,800,0,100,558
4,900,0,100,815
4,900,0,100,817
4,900,0,100,789
4,900,0,100,801
4,900,0,100,808
4,900,0,100,820
4,1000,0,100,1119
4,1000,0,100,1116
4,1000,0,100,1141
4,1000,0,100,1114
4,1000,0,100,1112
4,1000,0,100,1098
8,100,0,100,0
8,100,0,100,0
8,100,0,100,1
8,100,0,100,1
8,100,0,100,0
8,100,0,100,0
8,200,0,100,7
8,200,0,100,8
8,200,0,100,7
8,200,0,100,7
8,200,0,100,7
8,200,0,100,7
8,300,0,100,24
8,300,0,100,22
8,300,0,100,24
8,300,0,100,23
8,300,0,100,26
8,300,0,100,25
8,400,0,100,59
8,400,0,100,53
8,400,0,100,54
8,400,0,100,54
8,400,0,100,54
8,400,0,100,51
8,500,0,100,104
8,500,0,100,95
8,500,0,100,102
8,500,0,100,101
8,500,0,100,103
8,500,0,100,108
8,600,0,100,165
8,600,0,100,174
8,600,0,100,167
8,600,0,100,169
8,600,0,100,177
8,600,0,100,167
8,700,0,100,268
8,700,0,100,281
8,700,0,100,273
8,700,0,100,263
8,700,0,100,281
8,700,0,100,266
8,800,0,100,400
8,800,0,100,413
8,800,0,100,418
8,800,0,100,380
8,800,0,100,408
8,800,0,100,399
8,900,0,100,570
8,900,0,100,592
8,900,0,100,563
8,900,0,100,574
8,900,0,100,594
8,900,0,100,598
8,1000,0,100,792
8,1000,0,100,785
8,1000,0,100,774
8,1000,0,100,806
8,1000,0,100,779
8,1000,0,100,776
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,200,0,100,5
12,200,0,100,5
12,200,0,100,6
12,200,0,100,7
12,200,0,100,5
12,200,0,100,5
12,300,0,100,21
12,300,0,100,19
12,300,0,100,21
12,300,0,100,28
12,300,0,100,18
12,300,0,100,19
12,400,0,100,44
12,400,0,100,45
12,400,0,100,46
12,400,0,100,43
12,400,0,100,44
12,400,0,100,44
12,500,0,100,90
12,500,0,100,87
12,500,0,100,85
12,500,0,100,87
12,500,0,100,84
12,500,0,100,85
12,600,0,100,149
12,600,0,100,156
12,600,0,100,149
12,600,0,100,149
12,600,0,100,149
12,600,0,100,148
12,700,0,100,234
12,700,0,100,237
12,700,0,100,234
12,700,0,100,237
12,700,0,100,236
12,700,0,100,256
12,800,0,100,351
12,800,0,100,355
12,800,0,100,353
12,800,0,100,353
12,800,0,100,354
12,800,0,100,351
12,900,0,100,510
12,900,0,100,509
12,900,0,100,506
12,900,0,100,506
12,900,0,100,513
12,900,0,100,506
12,1000,0,100,695
12,1000,0,100,701
12,1000,0,100,697
12,1000,0,100,693
12,1000,0,100,689
12,1000,0,100,691
