Threads,MatrixSize,MinValue,MaxValue,Time(ms)
4,1000,0,100,1992
4,1000,0,100,1772
8,100,0,100,2
8,100,0,100,0
8,100,0,100,0
8,100,0,100,0
8,100,0,100,2
8,100,0,100,1
8,200,0,100,14
8,200,0,100,14
8,200,0,100,13
8,200,0,100,14
8,200,0,100,10
8,200,0,100,14
8,300,0,100,43
8,300,0,100,41
8,300,0,100,43
8,300,0,100,39
8,300,0,100,43
8,300,0,100,44
8,400,0,100,143
8,400,0,100,98
8,400,0,100,91
8,400,0,100,86
8,400,0,100,93
8,400,0,100,81
8,500,0,100,199
8,500,0,100,226
8,500,0,100,168
8,500,0,100,193
8,500,0,100,170
8,500,0,100,168
8,600,0,100,305
8,600,0,100,304
8,600,0,100,225
8,600,0,100,206
8,600,0,100,224
8,600,0,100,206
8,700,0,100,355
8,700,0,100,330
8,700,0,100,369
8,700,0,100,364
8,700,0,100,352
8,700,0,100,405
8,800,0,100,579
8,800,0,100,790
8,800,0,100,810
8,800,0,100,750
8,800,0,100,665
8,800,0,100,729
8,900,0,100,1092
8,900,0,100,1003
8,900,0,100,726
8,900,0,100,978
8,900,0,100,890
8,900,0,100,914
8,1000,0,100,1247
8,1000,0,100,1058
8,1000,0,100,1151
8,1000,0,100,1382
8,1000,0,100,1427
8,1000,0,100,1311
12,100,0,100,1
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,100,0,100,0
12,200,0,100,8
12,200,0,100,6
12,200,0,100,7
12,200,0,100,6
12,200,0,100,7
12,200,0,100,5
12,300,0,100,25
12,300,0,100,22
12,300,0,100,31
12,300,0,100,23
12,300,0,100,23
12,300,0,100,25
12,400,0,100,61
12,400,0,100,69
12,400,0,100,59
12,400,0,100,55
12,400,0,100,60
12,400,0,100,54
12,500,0,100,142
12,500,0,100,142
12,500,0,100,136
12,500,0,100,119
12,500,0,100,124
12,500,0,100,142
12,600,0,100,203
12,600,0,100,211
12,600,0,100,246
12,600,0,100,266
12,600,0,100,247
12,600,0,100,306
12,700,0,100,428
12,700,0,100,574
12,700,0,100,432
12,700,0,100,467
12,700,0,100,506
12,700,0,100,448
12,800,0,100,648
12,800,0,100,804
12,800,0,100,735
12,800,0,100,652
12,800,0,100,790
12,800,0,100,756
12,900,0,100,777
12,900,0,100,770
12,900,0,100,984
12,900,0,100,1091
12,900,0,100,1026
12,900,0,100,996
12,1000,0,100,1451
12,1000,0,100,1064
12,1000,0,100,1017
12,1000,0,100,1049
12,1000,0,100,1558
12,1000,0,100,1352
